journey_id,priority,entry_trigger,eligibility,delay_or_wait,message_ref,deep_link,suppression_rules,frequency_cap,exit_condition,kpi,experiment_variant,player_harm_risk
daily_challenge,P0,daily_unlocked tag true + local 10:00,"push granted, daily_opt_in=true, daily not completed today","Wait Until local preferred play window (default 10:00, learned from median session start after 7 days)",daily_challenge A/B/C,catmetro://daily,"skip if app_open in last 2h; skip if daily_completed today; global cap check",1/day; counts toward 3/week global,"app_open OR daily_completed OR opt-out",daily participation rate; notif open rate,send-time 10:00 vs learned-time,LOW — announces real shared content
streak_risk,P0,streak_at_risk event (12h before expiry),"streak_days>=3, push granted, daily not completed","Wait Until 6h before expiry",streak_risk A/B/C,catmetro://daily,"skip if any push sent in last 4h; never send 22:00-09:00 local",1 per risk window; max 3/week,"daily_completed OR expiry passed OR app_open",streak save rate,copy A vs B,MEDIUM — loss-aversion; mitigated: streak is cosmetic-only and copy says progress is safe
inactivity_48h,P1,no app_open for 48h,"tutorial_completed, install_age>=2d, not in winback","fixed 48h from last session, delivered in local afternoon",inactivity_48h A/B/C,level or home per variant,"suppress if any other journey active; suppress for payers in first 24h of purchase",1 per 7 days,app_open,return rate vs holdout,specific-tip vs warm-generic,"LOW-MEDIUM — must stay helpful, not guilt"
winback_7d,P1,no app_open for 7d,"tutorial_completed, notifications granted",delivered local evening,winback_7d A/B/C,catmetro://home,"cancels inactivity_48h; skip if opted out of marketing",1 total,app_open OR 14d elapsed,7d resurrection rate,content-led vs warm,LOW
winback_14d,P1,no app_open for 14d and winback_7d unopened,same as winback_7d,local evening,winback_14d A/B/C,catmetro://home,final message — journey ends permanently after send,1 total (sequence cap 2 with winback_7d),app_open OR journey end,14d resurrection; unsubscribe rate,honest-final vs value-led,LOW — explicitly final; respects the exit
event_start,P1,weekly event goes live (Mon 17:00 local),"push granted, highest_level>=8, played within last 14d",none,event_start A/B/C,catmetro://event,"skip if app_open within 1h after event start",1/event,event_joined OR event ends,event participation,copy variants,LOW
event_ending,P2,event ends in 12h,"event_joined AND not event_completed, progress>=30%",Wait Until 12h before end,event_ending A/B,catmetro://event,skip if app_open in last 3h,1/event,event_completed OR event end,event completion rate,progress-copy vs plain,MEDIUM — completion pressure; mitigated by participation-reward framing
hard_level_help,P1,level_failed x2 same level within 60min no completion,"attempt>=2, not completed 30-60min later, level<40","wait 30-60 min after second fail",hard_level_help A/B/C,catmetro://level/{id},"1 per level ever; never within 2h of another push; never offers purchase",1/level; 2/week from this journey,level_completed OR app_open,level completion after tip; sentiment,tip vs retune-transparency,MEDIUM — must never read as an upsell; rewind granted FREE
payer_thanks,P2,purchase_completed(all_access),payer,15 min after purchase,payer_thanks A/B,catmetro://home,one-time; excludes all sales journeys permanently for this SKU,1 ever,sent,restore awareness; support tickets,n/a,LOW
purchase_issue,P2,purchase_failed(error not user_cancelled),"failed purchase, no completion within 2h",2h,purchase_issue A/B,catmetro://shop or /restore,"never if user_cancelled; 1 per incident; no discount framing",1/incident; 1/week max,purchase_completed OR 24h,recovery rate; complaint rate,support-framing vs shop-framing,MEDIUM — must be service not pressure; copy states no charge occurred
feedback_request,P2,3 sessions completed + no feedback,"beta/closed-test cohort OR first 2 weeks post-launch",in-app message first; push only if IAM unseen 3 sessions,feedback_request A/B,catmetro://feedback,1 per build; never near a failure moment,1/build,feedback_submitted,response rate; response quality,earned-ask vs plain,LOW
new_content,P2,content update ships,"played within 30d, push granted",local afternoon day after release,new_content A/B,catmetro://home,skip if app_open since release,1/release,app_open,return rate,n/a,LOW
review_coordination,P2,level_completed with 3 stars AND session_count>=5 AND crash_free session,never a push — in-app moment only,immediate in-app,in-app native review API,n/a,"never after failure/purchase; respects Play quota; 1 ask per 30d",per Play API quota,review flow shown,rating volume/score,timing L12 vs L20,LOW — uses official API only
